country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.029,0.198,0.453,0.526,0.647,1.02,0.917,1.08,0.66,0.217,0.169,0.666,1.26,0.946,1.34,0.386,0.514,0.466,0.504,0.596,0.767,0.945,1.65,1.28,1.49,2.03,2.22,2.33,1.91,1.79,1.88,2.15,2.2,2.46,2.54,2.86,3.24,4.11,3.77,3.02,3.13,3.3,3.73,4.14,4.74,3.16,4.4,4.3,4.4,4.42,4.36,4.34,3.91,3.76,4.53,2.75,1.68,1.39,0.877,0.805,0.716,0.77,0.919,0.68,0.78,1.17,1.28,1.42,1.62,1.9,1.79,1.91,1.9,2,2.21,2.35,2.26,2.45,2.37,2.27,2.25,2.04,2.01,2.13,2.08,2.05,2
United Arab Emirates,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.125,0.188,0.202,0.153,0.169,0.184,6.21,7.83,116,74.7,87.8,81.5,89.2,77,65.1,71.5,60.6,61.6,45.1,41.6,38.6,36.3,33,41,41.8,37.4,35.6,34,36.1,32.5,29.3,30.4,30,31.1,33.2,31.6,30.7,29.2,31.7,25.6,28.3,27.9,26.2,32.3,32.8,33.4,34.7,32,31.2,25,23.9,25.4,26.2,27,26.8,27,26.7,23.9,23.5,21.2,19.7
Argentina,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.296,0.297,0.567,0.429,0.284,0.406,0.441,0.547,0.602,0.593,0.518,0.566,0.68,0.465,0.54,0.588,0.576,0.736,0.744,1.13,1.08,1.27,0.957,1.39,1.5,1.4,1.46,1.21,0.945,0.662,0.289,0.318,0.457,0.704,0.643,0.823,0.925,1.17,1.16,1.13,1.3,1.2,1.21,1.15,1.13,1.13,1.12,1.18,1.14,1.21,1.32,1.27,1.32,1.19,1.02,0.972,0.995,0.968,0.93,0.915,0.951,1.12,0.969,1.85,2.12,2.15,2.05,2.1,2.22,2.44,2.58,2.35,2.56,2.51,2.59,2.67,2.46,2.69,2.8,2.96,3.02,3.14,3.46,3.65,3.86,3.85,3.95,3.95,3.87,4,3.98,3.99,4.24,4.1,3.79,3.78,3.78,3.77,3.5,3.57,3.88,4.03,3.83,3.62,3.41,3.62,3.79,3.6,3.66,3.69,3.84,3.98,4.03,4.04,3.79,3.44,2.16,2.93,3.43,3.58,3.81,3.9,4.28,3.87,4.17,4.56,4.5,4.66,4.3,4.6,4.27,4.31,3.95,3.72,3.52
Armenia,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.005,0.006,0.006,0.008,0.008,0.01,0.01,0.012,0.013,0.013,0.015,0.015,0.016,0.016,0.017,0.018,0.019,0.021,0.023,0.024,0.028,0.029,0.033,0.033,0.038,0.042,0.048,0.054,0.055,0.053,0.051,0.056,0.05,0.056,0.062,0.062,0.065,0.063,0.065,0.073,0.079,0.07,0.064,0.068,0.062,0.024,0.021,0.019,0.02,0.024,0.027,0.031,0.031,0.044,0.054,0.06,0.064,0.086,0.102,0.114,0.126,0.151,0.17,0.193,0.195,0.204,0.205,0.243,0.212,0.144,0.183,0.17,0.178,0.198,0.236,0.249,0.279,0.306,0.325,0.339,0.348,0.367,0.402,0.426,0.449,0.462,1.34,1.34,1.34,1.36,1.41,1.45,1.5,1.53,1.56,1.56,1.59,1.63,1.69,1.74,1.77,1.8,1.85,1.89,1.92,1.95,1.93,1.97,1.91,1.92,1.92,1.91,2.02,2,1.95,1.98,1.92,1.79,1.67,1.24,1.02,0.53,0.528,0.816,0.86,1.24,1.23,1.6,1.33,1.41,1.41,1.28,1.38,1.9,1.67,3.4,2.19,1.99,1.78,1.79,2.23,2.07,2,2.03,1.92,2.02,2.49,2.45,2.57
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.221,0.242,0.157,0.241,0.386,0.482,0.384,0.327,0.298,0.336,0.335,0.403,0.405,0.368,0.405,0.455,0.404,0.593,0.876,0.681,0.751,0.875,0.897,0.978,0.939,0.954,1.07,1.01,1.02,1.12,1.14,1.06,1.15,1.19,1.15,1.24,1.38,1.39,2.41,2.66,2.61,2.53,2.56,2.63,3.09,3.28,3.5,2.99,3.52,3.81,4.04,4.27,4.57,3.99,3.46,3.65,3.96,3.67,4.26,3.76,3.88,3.89,4.16,4.25,4.12,4.19,3.74,3.31,3.04,2.66,2.74,2.89,3.01,3.32,3.53,3.73,3.59,4.08,3.64,4.28,4.45,4.2,4.04,3.8,4.05,4.28,4.26,4.1,5.85,6.14,6.12,5.92,6.61,6.74,6.81,6.79,6.92,7.29,7.52,7.57,7.79,8.13,8.6,9.34,9.06,9.48,9.62,9.92,10.1,10.2,10.4,11.1,11.1,11.1,10.9,11.6,12.4,12.4,13.2,13.6,13.6,12.9,13.4,13.4,13.2,13.8,13.9,14.5,14.3,14.2,14,14,14,14.3,14.4,14.6,14.9,15.7,15.6,15.2,15.4,16.2,16.9,17.2,17,17.3,17.6,17,18.1,17.9,17.5,17.6,16.4,16.2,16,15.3,15.3,14.6,14.2,13.7
Austria,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.132,0.134,0.126,0.144,0.145,0.164,0.17,0.162,0.168,0.174,0.168,0.178,0.148,0.202,0.217,0.23,0.24,0.287,0.355,0.39,0.438,0.481,0.416,0.519,0.583,0.681,0.666,0.742,0.714,0.731,0.728,0.871,0.992,0.971,1.12,1.27,1.46,2.15,1.73,1.8,1.86,1.84,1.69,1.45,1.52,1.01,1.38,1.69,1.79,2.02,2.76,2.7,2.87,2.42,2.06,2.1,1.88,1.85,2.25,5.94,2.57,2.61,2.88,2.78,2.89,2.71,2.89,2.8,2.98,2.99,3.4,3.26,3.95,4,4.45,4.61,4.93,5.18,5.2,5.74,5.83,5.22,5.14,5.37,5.54,6.55,8.14,11.3,8.01,10.9,9.05,9.41,11.3,9.24,6.62,1.53,0.658,0.638,0.577,2.78,3.7,3.54,3.38,3.81,3.58,3.5,3.77,3.96,4.5,3.5,3.36,2.81,2.64,2.55,2.58,2.52,2.82,1.07,1.17,1.36,1.47,1.57,1.76,1.71,0.829,2.31,3.18,4.41,4.77,3.74,4.17,3.95,3.89,4.38,5.19,5.03,5.18,4.97,4.92,5.4,5.55,5.87,6.36,6.65,6.48,6.62,6.7,7.06,7.41,8.36,8.56,9.18,9.79,9.32,8.81,9.45,9.1,9.31,9.99,8.48,9.11,8.74,8.43,8.85,8.86,8.74,9.32,8.58,8.67,10,11.6,11.7,11.8,11.2,11.1,11.6,12.6,11.8,12.3,12,11.4,11.9,11.7,12.4,12.7,12.9,13.2,12.7,12.4,11.4,12,12.2,11.8,11.1,11.1,10.3,10.6,10.4,10.3,10,9.07
Azerbaijan,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.007,0.006,0.02,0.022,0.018,0.025,0.027,0.036,0.036,0.034,0.041,0.046,0.057,0.058,0.075,0.076,0.088,0.092,0.096,0.108,0.109,0.118,0.119,0.125,0.129,0.139,0.156,0.17,0.178,0.207,0.209,0.237,0.24,0.274,0.305,0.351,0.394,0.4,0.383,0.371,0.409,0.362,0.409,0.454,0.453,0.474,0.46,0.473,0.531,0.571,0.511,0.465,0.491,0.447,0.177,0.15,0.135,0.145,0.176,0.192,0.227,0.222,0.319,0.393,0.432,0.461,0.621,0.74,0.826,0.915,1.1,1.23,1.4,1.42,1.48,1.49,1.76,1.54,1.05,1.32,1.23,1.29,1.44,1.71,1.81,2.03,2.22,2.36,2.47,2.54,2.7,2.97,3.16,3.35,3.47,2.98,3,3,3.04,3.16,3.25,3.35,3.44,3.51,3.53,3.6,3.7,3.85,3.98,4.08,4.16,4.3,4.39,4.47,4.55,4.52,4.62,4.46,4.48,4.47,4.44,4.71,4.64,4.54,4.59,4.41,4.06,3.74,2.8,1.68,3.06,2.38,2.92,3.53,3.18,3.72,3.27,2.87,3.06,3.68,4.02,4.71,4.07,4.54,3.45,3.91,3.52,3.32,3.44,3.75,3.78,3.82,3.76,3.56,3.39,3.47,3.7,3.79
Belgium,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.41,1.35,1.3,1.39,1.62,1.72,1.74,1.89,2.16,2.05,2.11,1.94,2.11,2.2,2.38,2.45,2.16,2.26,2.4,2.59,2.89,2.97,3.27,3.32,3.26,3.38,3.52,3.61,3.66,3.93,3.88,4.06,4.23,4.43,4.73,5.09,4.57,4.88,5.54,5.27,5.64,6.14,5.61,5.79,5.61,5.29,5.71,5.76,6.26,6.25,6.56,6.88,6.72,6.5,6.25,6.55,6.88,6.96,7.46,7.01,6.93,6.56,7.18,7.16,7.47,7.66,7.81,8.09,8.44,7.85,8.12,8.66,8.19,8.09,9.15,9.18,9.01,8.91,9.39,9.41,9.86,10.3,6.17,5.23,6.95,5.5,5.11,6.79,8.31,7.58,8.35,10.7,11.2,11.4,11.3,13.1,12.7,13.8,13.3,11.9,9.52,10.2,10.5,9.97,10.4,12.5,10.9,10.1,8.5,8.89,8.3,7.84,4.47,5.21,7.57,11,11.3,10.7,10.1,11.8,10.9,10.7,11.1,11.8,12.4,12.2,11.1,11.1,11.3,11.5,12,12.9,12.6,12.7,12.6,12.9,14.1,14.7,14.9,14.3,15.4,16.3,15.8,14.2,15.1,14.7,15.7,16.2,15.6,14.3,13.5,11.7,12.1,12,11.8,11.8,11.4,12.2,13.7,15.5,15.5,17.1,16.1,16,16.4,16.2,16.6,17.5,18,18.4,18.2,18.6,19.7,20.8,21.4,21.2,22,21.7,18.5,19.7,19.9,18.9,18.9,18.9,18.4,18.3,17.5,18.1,17.3,15.3
Benin,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.081,0.063,0.066,0.058,0.067,0.07,0.052,0.064,0.067,0.086,0.118,0.12,0.156,0.149,0.156,0.166,0.095,0.105,0.126,0.124,0.167,0.133,0.148,0.133,0.143,0.207,0.184,0.139,0.14,0.154,0.167,0.18,0.186,0.189,0.202,0.225,0.235,0.272,0.296,0.303,0.298,0.343,0.423,0.445,0.489,0.444,0.457,0.678,0.732,0.844,0.704,0.761,0.923,0.727,0.764,0.721,0.714,0.678,0.66,0.659,0.606,0.65
Burkina Faso,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.017,0.036,0.033,0.034,0.041,0.038,0.037,0.037,0.036,0.042,0.049,0.05,0.053,0.054,0.065,0.068,0.064,0.075,0.102,0.117,0.121,0.153,0.154,0.155,0.118,0.118,0.116,0.122,0.127,0.183,0.127,0.088,0.091,0.09,0.087,0.087,0.086,0.087,0.098,0.155,0.187,0.118,0.118,0.116,0.123,0.128,0.122,0.137,0.151,0.148,0.188,0.201,0.174,0.199,0.217,0.216,0.258,0.245,0.262,0.279,0.291,0.28
